Column1;title;contract_type;description;salary_max;salary_min;location.display_name;salary_is_predicted;redirect_url;created
1126;Data Scientist;;Data Scientist You own, improve, and promote best state-of-the-art machine learning models, advanced statistics and predictive modelingâ¯and solutions to increase support to our decision-makingâ¯ You make sense of large data sets by conducting end-to-end analyses including data preparation, model training, and model evaluationâ¯ You improve upon existing machine learning model by integrating new data sources, testing model enhancements, running experiments, and fine-tuning model parameters f…;;;Altstadt, Magdeburg;0;https://www.adzuna.de/land/ad/3124972550?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=5E5AE222CB6C330EFEE226711EEB4A0145121424;11/05/2022 19:16
1127;Senior Data Consultant Big Data / Data Mining / Python (w/d/m);;Excellence in Customer Loyalty. Perfectly engineered. Seit über 30 Jahren begleiten wir starke Marken in ihrem Kundenmanagement. Mit performanter Software-as-a-Service, exzellenten Services und hoch qualifizierten Experten unterstützen wir unsere Kunden – auch im Onsite Einsatz – bei der Transformation hin zu Direct-to-Consumer Geschäftsmodellen. Dabei verfolgen wir das Ziel, nachhaltige Verbundenheit zwischen Marken und Kunden zu schaffen. Wir befähigen dafür mit digitalen Lösungen, optimieren…;;;Nürnberg, Bayern;0;https://www.adzuna.de/land/ad/3131572638?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=318178263E67CEBAFD57CE4B16D974D1F41A8F76;13/05/2022 19:19
1128;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Altstadt, Magdeburg;0;https://www.adzuna.de/land/ad/3124972700?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=BE8D526E59E7D5EF8DF2D80A4CDC13E632D0EF3B;11/05/2022 19:16
1129;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Mitte, Stuttgart;0;https://www.adzuna.de/land/ad/3124972755?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=EDC2E1D9906D12CF3ADF0B3FC186FA8A09EB213E;11/05/2022 19:16
1130;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Malstatt, Saarbrücken;0;https://www.adzuna.de/land/ad/3124972756?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=A43117F5673374DE824FB98F30F4BFECC3D78CC0;11/05/2022 19:16
1131;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Altstadt, Kiel;0;https://www.adzuna.de/land/ad/3124972695?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=565A1EBAA4C78D8511C40CB327392AD76D6FA1AA;11/05/2022 19:16
1132;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Farmsen-Berne, Hamburg;0;https://www.adzuna.de/land/ad/3124972435?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=CFA234ADAB8138172195EC293EE566F49E3B6977;11/05/2022 19:16
1133;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Babelsberg Süd, Potsdam;0;https://www.adzuna.de/land/ad/3124972439?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=693488FF1131E44277B600FBD6A9D16895D683DC;11/05/2022 19:16
1134;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Altstadt, Mainz;0;https://www.adzuna.de/land/ad/3124972749?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=450692C98681645C2915ACB1A75F849DBD1EF7C5;11/05/2022 19:16
1135;Internship R&D Data Science / Data Engineering;contract;Internship R&D Data Science / Data Engineering Conduct and support studies to collect data from sleep- and other body feature measuring devices (EEG, heart- and breathing rate, temperature, movement, etc.). Automatization and supportin analyzingsleep, material, and study data Applyingstate-of-the-art (machine learning)techniques to detect sleep stages, sleep quality, positioning, etc. during sleep Building a database for secure storage and easy retrieval of sleep study data Work with data visua…;;;Altstadt-Lehel, München;0;https://www.adzuna.de/land/ad/3124972433?se=SARwFbLT7BGUP2UqbkSs0A&utm_medium=api&utm_source=e27c0930&v=B485D96EC8F4A4ED3181D9F12FA1E19F04EF2116;11/05/2022 19:16
