,title,contract_type,description,salary_max,salary_min,location.display_name,salary_is_predicted,redirect_url,created
25,Data Analyst (m/w/d) - Software,,"Globales Unternehmen in Zukunftsbranche Spannende und verantwortungsvolle Aufgabe FirmenprofilFür ein globales zukunftsorientiertes Unternehmen im SaaS Bereich suche ich aktuell einen Data Analyst (m/w/d) für den Standort Berlin. Hast Du Lust, mit motivierten Kolleginnen die Weiterentwicklung des Geschäftsfeldes mit Hilfe von Datenanalyse voranzutreiben? Ich freue mich auf Deine BewerbungAufgabengebiet Durchführung von Datenanalyse- und Aufbereitung Erstellung, Pflege und Entwicklung von Datenb…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243919041?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=4BAB6853CFAACD91CF6205137DD2D29242608ADC,2022-06-20T13:33:31Z
26,Senior Data Analyst (m/w/d),,"Generation of customer insights and analysis of marketing data Attractive salary and extensive growth possibilities FirmenprofilMy client is a successful digital credit broker working on providing loans to small to medium sized businesses. For their Berlin location, my client is looking for a Data Analyst (f/m/d) who has the motivation to generate functional and important business insights and, thus, improve customer satisfaction and business growth.Aufgabengebiet Analyzing marketing and sales …",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243919098?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=585E131029A6C5B7F8906225EEE022FBA9E2F43A,2022-06-20T13:33:33Z
27,(Senior) Data Scientist (m/f/d),,"Führendes Unternehmen im Public Sektor Bereich IT-Security und Identitätsschutz FirmenprofilMein Klient ist ein führendes Unternehmen im Public Sektor. Für die weitere Entwicklung im Bereich der IT-Security und der Sicherung digitaler Identitäten, suche ich einen (Senior) Data Scientist (m/f/d)Aufgabengebiet Du erstellst eigenständig Auswertungen und Prognosen aus gewonnen Datensätzen und leitest entsprechende Handlungsempfehlungen ab Du bist verantwortlich für die Auswahl von passenden Modelle…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243919137?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=5B9BC8116B1BEB2450DC2785DDF7B6AB53B02E98,2022-06-20T13:33:34Z
28,(Senior) Data Scientist (m/w/d),,"Digitale Datenplattform Flexible Arbeitszeiten, 30 Urlaubstage FirmenprofilMein Kunde ist ein erfolgreiches Sicherheitsunternehmen, welches auf das Schützen von Daten und Identitäten spezialisiert ist. Für den Standort in Berlin sucht mein Kunde einen (Senior) Data Scientist (m/w/d), welcher vorausschauend denkt und mit eigen entwickelten Data Plattformen im Zuge von Digitalisierungsprojekten arbeiten mö Auftrag meines Kunden suche ich einen (Senior) Data Scientist (m/w/d) für den Standort Berl…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243915164?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=606EED21FDC67AE25EA18C604D057382A64BC9D9,2022-06-20T13:32:59Z
29,Data Science (m/w/d) - Beratung,,"CRM, Unternehmensberatung Zeitlich flexibles und mobiles Arbeiten FirmenprofilMein Kunde ist eines der führenden Business Beratung für digitales Kundenmanagement. Durch eigen entwickelte Ansätze und Softwarelösungen im Bereich CRM, CX, Marketing Automation & BI werden nachhaltige Mehrwertkonzepte für DAX Konzerne und Mittelständische Unternehmen geboten. Im Auftrag meines Kunden suche ich einen Data Scientist (m/w/d) für den Standort Berlin.Aufgabengebiet Eigenverantwortliche Entwicklung und Im…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916374?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=9FFF3C1971CB847B72B9BDD7E4254D9011A9336A,2022-06-20T13:33:15Z
30,Senior Data Engineer (m/f/d),,"Etabliertes Unternehmen im Bereich Verlagswesen und Multimedia Sicheres Arbeitsumfeld mit persönlichen und professionellen Weiterentwicklungsmö FirmenprofilMein Kunde ist ein erfolgreiches Unternehmen im digitalen Verlagswesen. Die Branche ist auf generellem Wachstumskurs und bietet viel Raum für Innovation und Ideenverwirklichung. Aktuell suche ich für meinen Kunden nach einem motivierten Data Engineer (m/w/d), der in einem agilen Team die journalistischen und kundenbezogenen Daten zu verstehe…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243916799?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=DF2F7B65CCD60A5941FE4AA2CFFE954BC211AF22,2022-06-20T13:33:19Z
31,Head of Data (m/w/d),,"Gesundes Unternehmen im E-Food-Sektor Wegweisende Rolle mit hoher Verantwortung FirmenprofilMein Kunde ist ein E-Food-Unternehmen, welches über Jahre gesund gewachsen ist. Durch den jüngsten Aufschwung in der Branch suche ich nun für den Ausbau der Data Unit nach einem Head of Data (m/w/d) mit Sitz in Berlin. Als Teil & Leader eines leidenschaftlichen Teams, das Du selbst mitgestaltest, bist Du maßgeblich an der zukunftsgewandten Unternehmensorientierung und Data-driven Gestaltung beteiligt.Auf…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243916851?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=E5046240083C5C921AC26F6CEA0EF73CC0E3A9F5,2022-06-20T13:33:20Z
32,Senior Data Engineer (m/w/d),,"Real Estate Attractive salary and home office possibilities FirmenprofilMy client is a successful stock market oriented real estate company that creates innovative and sustainable housing. For the office in Berlin, my client is looking for a Data Engineer (f/m/d) who is motivated to take social responsibility and thus build a future together.Aufgabengebiet Development and maintainenance on-prem and cloud databases Integration, transformation, and consolidation of data from structured and unstru…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243918823?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=7D3EC9910B8B7437A751C08C867FC6363D6B588B,2022-06-20T13:33:29Z
33,Data Scientist (m/f/d) - Foodtech,,"Gesundes Unternehmen im E-Food-Sektor Nachhaltiges Wachstum im Einklang mit beruflicher und persönlicher Entfaltung FirmenprofilMein Kunde ist ein E-Food-Unternehmen, welches über Jahre gesund gewachsen ist. Durch den jüngsten Aufschwung in der Branche suche ich nun für den Ausbau der Data & Advanced Analytics Unit nach einem Data Scientist (m/w/d) mit Sitz in Berlin. Als Teil eines leidenschaftlichen Teams bist du an der wegweisenden Verbesserung des Online-Supermarkts beteiligt, kannst Deine …",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243915068?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=DFF0106BAFEA63A63F2E182575C85F0B6937721B,2022-06-20T13:32:59Z
34,Big Data Engineer (m/w/d),,"Teamwork, um Big Data Thematiken zu perfektionieren Homeoffice Möglichkeiten und attraktive Vergütung FirmenprofilDu bist absolut begeistert, wenn es um Big Data und digitale Transformation geht? Dann bist Du bei meinem international aufgestellten Kunden, einem mit Expertise geballten Integrations- und Beratungsunternehmen, absolut richtig Für die Entwicklung innovativer Lösungen, die es international agierenden Großkonzernen sowie öffentlichen Institutionen ermöglichen, ihre Daten wertvoll zu …",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243915382?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=FE1C82C763A3B0ACA0A6FE4DAAC6397C6FAB581B,2022-06-20T13:33:01Z
